T6-0500 ||| 判断这条事件应该 IGNORE（忽略只留档）/ LOCAL（本地小处理）/ ESCALATE（叫云端大模型）中的哪一种？只回答三个词之一。 // 事件：用户在地铁上，心率 88
T6-0501 ||| 判断这条事件应该 IGNORE（忽略只留档）/ LOCAL（本地小处理）/ ESCALATE（叫云端大模型）中的哪一种？只回答三个词之一。 // 事件：用户深夜 23:40 支付夜宵外卖 ¥52（连续第 4 天）
T6-0502 ||| 判断这条事件应该 IGNORE（忽略只留档）/ LOCAL（本地小处理）/ ESCALATE（叫云端大模型）中的哪一种？只回答三个词之一。 // 事件：用户连续第 3 天对家人说'我在忙'（实际在刷手机）
T6-0503 ||| 判断这条事件应该 IGNORE（忽略只留档）/ LOCAL（本地小处理）/ ESCALATE（叫云端大模型）中的哪一种？只回答三个词之一。 // 事件：电梯里听到同事谈论天气
T6-0504 ||| 判断这条事件应该 IGNORE（忽略只留档）/ LOCAL（本地小处理）/ ESCALATE（叫云端大模型）中的哪一种？只回答三个词之一。 // 事件：用户对张总说：这个版本明天给你方案（今天已是周四）
T6-0505 ||| 判断这条事件应该 IGNORE（忽略只留档）/ LOCAL（本地小处理）/ ESCALATE（叫云端大模型）中的哪一种？只回答三个词之一。 // 事件：运动中瞬时心率 145
T6-0506 ||| 判断这条事件应该 IGNORE（忽略只留档）/ LOCAL（本地小处理）/ ESCALATE（叫云端大模型）中的哪一种？只回答三个词之一。 // 事件：银行短信：账户支出 ¥18,000
T6-0507 ||| 判断这条事件应该 IGNORE（忽略只留档）/ LOCAL（本地小处理）/ ESCALATE（叫云端大模型）中的哪一种？只回答三个词之一。 // 事件：用户说：今天真没意思
T6-0508 ||| 判断这条事件应该 IGNORE（忽略只留档）/ LOCAL（本地小处理）/ ESCALATE（叫云端大模型）中的哪一种？只回答三个词之一。 // 事件：心率 68，用户在工位坐着
T6-0509 ||| 判断这条事件应该 IGNORE（忽略只留档）/ LOCAL（本地小处理）/ ESCALATE（叫云端大模型）中的哪一种？只回答三个词之一。 // 事件：静息状态下心率 110 持续 5 分钟
T6-0510 ||| 判断这条事件应该 IGNORE（忽略只留档）/ LOCAL（本地小处理）/ ESCALATE（叫云端大模型）中的哪一种？只回答三个词之一。 // 事件：小王发来消息：明天能见面吗？
T6-0511 ||| 判断这条事件应该 IGNORE（忽略只留档）/ LOCAL（本地小处理）/ ESCALATE（叫云端大模型）中的哪一种？只回答三个词之一。 // 事件：张总发来消息：交付时间表发我，今天要
