stable_key,clause_alias,clause_title,module,world_objects,issues,scenarios,acceptance,notes
C01-definition,第一条,AIOS一句话定义,G,-,-,-,-,philosophy
C01-proposition,第二条,核心命题,G,-,M4-004,M4闭幕实验,core-thesis,帮助不是记录
C01-stage,第三条,当前阶段任务与运行环境,G,-,M8-004,V45,scope-boundary,硬件POST-M8
C02-help_over_record,第四条,最终目标是帮助不是记录,G,-,M4-002,-,A-core,指标北极星
C02-no_forced_interrupt,第五条,有能力帮助不等于必须打扰,C16,NotificationReceipt,M2-022;M2-023,V41,R3-07,反打扰原则
C02-blackbox_zero_ui,第六条,黑盒认知与零UI原则,C16,ManifestInstance,M6-005;M2-021,V44;V45,R3-01,黑盒不暴露后台
C02-implicit_correction,第七条,会话隐式纠偏机制,C15;C06,Claim,M2-018;M3-012,V45,R3-02,对话纠偏无确认框
C03-personality_pillars,第八条,AI人格三支柱,C10;C15,CommunicationExperience,M0-026;M2-017,V44,V3-01,人格三支柱
C03-anti_sycophancy,第九条,反谄媚立场原则,C12;C15,Claim,M3-014;M5-004,V44,R3-06,事实阈值单调
C03-anti_preaching,第十条,反居高临下,C12,CommunicationExperience,M3-014,V44,R3-01,反说教
C03-measure_emergence,第十一条,分寸感自涌现,C16;C12,CommunicationExperience,M2-022;M2-023,V41;V44,R3-07,安全包络参数化见ADJ-008
C03-communication_evolution,第十二条,AI沟通风格进化,C12,CommunicationExperience,M3-014;M5-004,V44,V3-01,CommExp闭环
C03-symbiont_not_assistant,第十三条,AI是共生者,G,-,-,-,-,philosophy
C03-emergence_not_hardcode,第十四条,功能不写死能力靠涌现,G,-,-,V21~V45,scenario-law,场景不写死
C03-concise_speech,第十四条之一,反长篇大论真人式短表达,C16,NotificationReceipt,M2-023,V44,ADJ-007,例外见ADJ-007.3
C04-constitutional_veto,第十五条,严重违宪一票否决,G,-,M0-023,-,ADJ-001~012,违宪清单
C05-single_timeline,第十六条,全局唯一时间轴,C02,-,M0-004,V05;V36,A01-CONS,时间轴
C05-three_times,第十七条,三类时间分离,C02,-,M0-004;M1-024,V38,A05,时间语义
C06-mountable_dims,第十八条,全维度动态可挂载架构,C03,DimensionMembership,M1-004;M3-006,V15;V25,A02-CONS,挂载架构;冗余裁决注:物化层受控豁免见R4§2.2
C06-seed_dims,第十九条,核心预置种子维度,C03,DimensionDefinition,M0-026;M1-004,V14;V15,A02-CONS,种子维度与关联种子丰度
C06-dim_composition,第二十条,维度组合与金字塔自主生长,C03;C05,DimensionDerivation,M3-005;M3-006,V25,R2-05,组合生长
C07-axial_sediment,第二十一条,轴向沉淀时序升华,C05,Summary,M3-004;M3-005,V30,R2-12,金字塔沉淀
C07-resonance,第二十二条,纵向交织跨域共振,C06;C06b,Claim(HYPOTHESIS),M1-011;M3-015,V42,ART-53,共振产假说不产事实
C07-derivative,第二十三条,认知层导数,C03,DimensionDerivation,M3-006,V25,R2-05,导数层
C07-dim_derivation,第二十四条,派生维度关系,C03,DimensionDerivation,M3-006;M3-008,V25;V15,R2-05,派生契约
C08-summary_not_deletion,第二十五条,总结不是压缩删除,C05;C02,Summary;RetentionTombstone,M0-030;M1-019,V30;V39,R2-13,ADJ-004删除治理
C08-scales,第二十六条,支持的时间尺度,C05,Summary,M3-005,V30,R2-12,尺度集
C08-drilldown,第二十七条,总结必须可以向下展开,C05;C06b,Summary,M1-024;M3-005,V30,R3-04,钻穿义务
C08-first_round_min,第二十八条,第一轮最低要求,C05,Summary,M3-004;M3-005,V30,R2-12,M2/M3三类维度
C08-lifechapter,第二十九条,人生章节相变模型,C05,LifeChapter,M0-025;M3-013,V43,R3-05,相变去参数化
C09-two_subjects,第三十条,双观察主体,C06,-,M3-010,V01,A01-CONS,双世界
C09-cross_discovery,第三十一条,双世界交叉发现,C06,Claim,M3-010,V12,A05,交叉认知
C09-backprop,第三十一条之一,内心数据反哺与双世界互成,C06,RetrospectiveAnnotation,M0-026;M3-012,V4;V29,ADJ-005,回溯标注唯一形式
C09-ai_personality,第三十二条,AI世界作为人格载体,C10;C15,Claim,M0-026;M3-010,V44,V3-01,自评Claim外部锚
C10-observation_contract,第三十三条,Observation原始输入与边缘轻量化,C01,Observation,M0-030;M1-017,V39;V40,ADJ-004;ADJ-007,摄入契约;检测先于压缩
C10-obs_no_wake,第三十四条,Observation默认只写入不直接唤醒,C09,Observation;Wake,M2-002,V21,R2-01,高频不逐条唤醒
C11-unique_ids,第三十五条,未知对象唯一编号,C04,Entity,M1-002,V06,A03,身份稳定ID
C11-name_neq_entity,第三十六条,文字相同不代表实体相同,C04,Entity,M1-002;M1-023,V06;V37;V40,A03,别名消歧;声纹见ADJ-009;声纹簇退役/重识别见ADJ-009
C11-relation_evolution,第三十七条,关系可以演化,C04,Relation,M1-003,V04;V29,A03,关系版本
C12-claim_kinds,第三十八条,区分不同性质的主张,C06,Claim,M0-008;M0-024,V05;V22,R2-02,R1体系
C12-claim_type_enum,第三十九条,claim_type枚举,C06,Claim,M0-008,V22,R2-02,枚举冻结
C12-confidence_rules,第四十条,置信度规则,C06,Claim,M0-008;M3-015,V22,R2-09,置信折扣链;provenance
C12-claim_examples,第四十一条,Claim示例,C06,Claim,M0-008,V05,R2-02,示例
C13-evidenceset_firstclass,第四十二条,EvidenceSet一等对象,C06,EvidenceSet,M0-009;M1-006,V23,R2-03,证据一等
C13-interval_rebuild,第四十三条,区间证据必须可重建,C06,EvidenceSet,M1-006;M1-024,V23;V24,R2-04,区间切片冻结
C13-support_counter,第四十四条,支持反对证据分开,C06,EvidenceSet,M1-006,V23,R2-03,双向证据
C13-evidence_ne_data,第四十五条,证据不等于一条数据,C06,EvidenceSet,M1-013,V23,R2-03,证据语义
C14-event_not_collector,第四十六条,事件不是采集器生成,C06,EventAnchor,M1-007,V01;V03,A03-CONS,事件语义产生
C14-event_anchor,第四十七条,事件是锚点不是重复数据,C06,EventAnchor,M1-007,V29,A04-CONS,锚点引用
C14-event_lifecycle,第四十八条,事件认知生命周期,C06,EventAnchor,M1-007,V29,R2-10,生命周期
C14-event_revision_propagation,第四十九条,事件修正影响传播,C07,Dependency,M3-016,V29,R2-11,修正波及
C15-prediction_firstclass,第五十条,Prediction一等认知对象,C06,Prediction,M0-024;M2-020,V42,R3-03,预测一等
C15-hypo_deductive,第五十一条,假说演绎闭环,C06,Prediction,M2-020;M3-015,V42,R3-03,假说演绎
C15-prediction_scope,第五十二条,预测适用边界,C06,Prediction,M2-020,V42,R3-03,边界
